trial,score,ema_fast_1m,ema_slow_1m,ema_fast_3m,ema_slow_3m,ema_trend_long,atr_period_3m,atr_mult_stop,tp_rr,min_atr_pct,min_ema_gap_pct
108,-19.415548330508017,7,26,21,89,200,14,2.5,1.5,0.0018,0.0002
109,-3.338835617917475,9,20,21,55,200,10,2.0,2.0,0.0008,0.0008
110,-2.5525639224288668,12,30,21,34,150,20,2.0,2.0,0.0012,0.0008
111,-5.659695941416649,9,20,13,55,233,10,2.0,1.5,0.0018,0.0004
112,-22.98910082752483,7,20,34,89,150,20,1.5,1.5,0.0018,0.0002
113,-4.531953473882814,12,30,13,34,150,14,1.5,2.0,0.0008,0.0004
114,-4.1725558954341375,12,26,34,89,200,14,2.0,1.5,0.0008,0.0004
115,-3.4597083625501224,12,21,21,34,233,20,2.5,1.2,0.0008,0.0004
116,-3.199495740705742,9,26,34,55,150,14,2.5,1.5,0.0018,0.0008
117,-2.693680824023602,12,30,13,55,233,14,2.0,1.5,0.0018,0.0008
118,-7.3122675857056105,9,30,21,34,233,10,2.5,1.5,0.0008,0.0004
119,-22.21180659782597,7,26,34,55,233,14,2.0,2.0,0.0018,0.0002
120,-3.338835617917475,9,20,13,89,233,14,1.5,1.5,0.0008,0.0008
121,-2.0,9,20,34,34,200,20,1.5,1.2,0.0012,0.0004
122,-2.0,9,30,34,34,200,20,2.5,1.5,0.0012,0.0008
123,-2.0,12,30,34,34,233,10,1.5,2.0,0.0018,0.0004
124,-4.051998070394598,7,20,21,34,233,20,1.5,1.5,0.0008,0.0008
125,-13.789706075874848,9,20,13,55,150,14,2.0,1.5,0.0012,0.0002
126,-10.04677130492408,7,30,34,89,150,10,1.5,1.2,0.0018,0.0004
127,-4.257445621033221,12,21,21,89,150,10,2.0,2.0,0.0012,0.0004
128,-6.462753367066101,9,20,21,55,233,20,1.5,1.2,0.0012,0.0004
129,-4.1725558954341375,12,26,34,55,233,14,2.0,1.5,0.0008,0.0004
130,-5.212487881352359,9,20,13,55,233,14,2.5,1.5,0.0018,0.0004
131,-4.975308711947202,7,30,21,34,233,20,2.5,1.2,0.0018,0.0008
132,-7.344480479690594,9,26,13,89,200,10,2.5,1.2,0.0018,0.0004
133,-2.0,12,21,34,34,233,20,1.5,1.5,0.0012,0.0002
134,-2.0,12,26,34,34,150,14,2.0,2.0,0.0012,0.0002
135,-10.537040531349238,7,21,34,55,233,20,2.0,1.2,0.0012,0.0004
136,-3.625629349538181,9,26,13,55,150,10,1.5,2.0,0.0018,0.0008
137,-7.143066997053198,9,26,13,55,150,14,2.5,1.2,0.0012,0.0004
138,-4.03810376128229,12,26,34,55,233,14,1.5,2.0,0.0008,0.0004
139,-2.0,7,26,34,34,233,10,2.5,1.5,0.0018,0.0004
140,-9.870458256615848,12,30,13,34,150,10,2.0,1.5,0.0008,0.0002
141,-9.125096497364646,7,21,21,55,200,20,2.5,2.0,0.0018,0.0004
142,-6.707816002145613,12,21,21,89,150,14,2.5,1.5,0.0012,0.0002
143,-4.613877823558219,12,26,13,55,200,10,2.0,1.2,0.0018,0.0004
144,-2.2853061659096023,12,26,13,55,200,10,1.5,1.5,0.0008,0.0008
145,-3.922222749473614,7,20,13,55,150,10,2.5,1.2,0.0008,0.0008
146,-18.617382711107545,7,21,13,55,150,20,1.5,1.5,0.0008,0.0002
147,-9.225394363033386,12,26,13,34,233,10,1.5,1.2,0.0012,0.0002
148,-2.114766802664265,12,26,13,34,200,10,1.5,2.0,0.0012,0.0008
149,-4.282335577923836,7,20,21,55,200,20,2.5,1.2,0.0012,0.0008
150,-24.683888109184423,7,20,34,89,233,14,2.0,2.0,0.0008,0.0002
151,-15.961773248131305,9,30,21,89,150,14,2.5,1.5,0.0008,0.0002
152,-3.1745318541773107,9,21,13,34,200,20,2.5,2.0,0.0018,0.0008
153,-17.307487592066572,9,30,34,89,200,14,2.5,2.0,0.0012,0.0002
154,-5.914520404248458,12,20,34,89,233,20,1.5,1.5,0.0012,0.0002
155,-7.011418693296483,9,26,21,55,200,20,1.5,1.5,0.0012,0.0004
156,-8.39093195712756,12,26,21,34,233,14,1.5,1.2,0.0008,0.0002
157,-3.503196441171718,9,20,34,89,200,10,2.5,1.2,0.0018,0.0008
158,-2.0,12,26,34,34,200,14,2.5,1.5,0.0018,0.0002
159,-5.901450834211524,9,26,21,34,233,20,1.5,1.2,0.0018,0.0004
160,-8.356579246582909,7,20,21,89,200,10,2.0,2.0,0.0008,0.0004
161,-2.0,12,20,34,89,233,14,1.5,1.2,0.0012,0.0008
162,-14.600226937523622,9,26,21,34,150,10,2.5,2.0,0.0012,0.0002
163,-8.566880500534307,7,20,13,89,233,10,2.0,1.5,0.0012,0.0004
164,-24.522342201099455,7,26,21,89,200,20,2.5,1.2,0.0008,0.0002
165,-2.0,7,20,34,34,200,14,2.5,1.5,0.0012,0.0008
166,-7.862085806584462,9,30,21,34,233,10,2.0,1.5,0.0008,0.0004
167,-9.635105981226992,12,30,34,89,200,10,1.5,1.5,0.0018,0.0002
168,-24.14687479311998,7,21,21,34,150,14,2.0,1.5,0.0008,0.0002
169,-2.9439273055139896,9,30,13,34,200,20,2.5,1.2,0.0018,0.0008
170,-9.63212537218138,12,26,13,55,233,10,2.0,1.2,0.0012,0.0002
171,-7.610895406334392,9,30,34,55,233,20,2.0,1.5,0.0008,0.0004
172,-24.7836206993971,7,26,13,89,200,20,2.0,1.2,0.0012,0.0002
173,-9.649926352106448,7,30,34,55,233,10,2.0,1.5,0.0018,0.0004
174,-20.94143184415743,7,26,13,34,233,20,1.5,2.0,0.0018,0.0002
175,-20.09867156388588,9,26,34,89,150,10,1.5,1.2,0.0012,0.0002
176,-2.0,7,21,34,34,150,20,2.0,1.5,0.0018,0.0008
177,-3.627481499366162,9,26,34,55,150,14,1.5,1.5,0.0012,0.0008
178,-2.0,9,26,34,34,200,20,1.5,1.5,0.0012,0.0004
179,-4.553867004538612,7,20,21,55,150,20,1.5,2.0,0.0018,0.0008
180,-18.627699456161544,9,30,34,89,233,10,2.0,2.0,0.0018,0.0002
181,-2.0,9,30,34,34,150,14,1.5,1.5,0.0018,0.0002
182,-2.486793582233107,12,21,13,34,233,14,2.0,2.0,0.0018,0.0008
183,-22.92718257728721,7,26,21,55,200,14,2.0,2.0,0.0018,0.0002
184,-4.4351395745294635,12,26,13,55,150,20,2.5,1.5,0.0012,0.0004
185,-2.4867935822331075,12,21,21,34,233,20,1.5,1.5,0.0012,0.0008
186,-3.622273482915454,12,30,13,89,233,10,2.0,2.0,0.0012,0.0008
187,-3.539780307628572,9,21,34,89,233,20,2.5,1.2,0.0018,0.0008
188,-18.808955563581137,9,26,13,55,200,10,1.5,1.5,0.0012,0.0002
189,-4.980257920060173,7,21,13,34,200,10,2.5,2.0,0.0018,0.0008
190,-2.0,7,26,34,34,233,14,1.5,1.2,0.0008,0.0008
191,-7.641543041970562,12,21,34,55,150,14,2.0,2.0,0.0018,0.0002
192,-15.726442740356568,9,26,34,55,150,20,1.5,1.5,0.0012,0.0002
193,-13.987549354727996,9,30,21,55,200,20,2.5,1.5,0.0008,0.0002
194,-2.486793582233107,12,21,21,34,233,14,2.0,2.0,0.0008,0.0008
195,-4.396402253895292,12,20,21,34,150,14,2.0,2.0,0.0008,0.0004
196,-10.588097144731577,7,21,21,55,150,14,1.5,1.5,0.0018,0.0004
197,-4.879307399075763,7,30,13,55,150,10,2.0,1.2,0.0018,0.0008
198,-5.495791340158373,9,21,13,34,200,14,2.5,1.2,0.0018,0.0004
199,-2.973587164466214,9,20,13,34,200,10,1.5,2.0,0.0018,0.0008
200,-4.947627539082211,12,30,13,55,150,14,1.5,1.2,0.0008,0.0004
